canonical_item_name,Date,quantity_sold,cumulative_monthly_units,daily_depletion_rate,selling_days_in_interval,prev_obs_date,first_obs_flag,long_gap_flag,tally_date_flag,imputation_flag,n_source_rows
5M Magnetic Pin,2025-05-16,14,26,14.0,1,2025-05-15,0,0,1,0,1
5M Magnetic Pin,2025-05-17,3,29,3.0,1,2025-05-16,0,0,1,0,1
5M Magnetic Pin,2025-05-19,7,36,7.0,1,2025-05-17,0,0,1,0,1
5M Magnetic Pin,2025-05-20,2,38,2.0,1,2025-05-19,0,0,1,0,1
5M Magnetic Pin,2025-05-21,6,44,6.0,1,2025-05-20,0,0,1,0,1
5M Magnetic Pin,2025-05-22,13,57,13.0,1,2025-05-21,0,0,1,0,1
5M Magnetic Pin,2025-05-23,1,58,1.0,1,2025-05-22,0,0,1,0,1
5M Magnetic Pin,2025-05-26,2,60,1.0,2,2025-05-23,0,0,1,0,1
5M Magnetic Pin,2025-05-27,120,180,120.0,1,2025-05-26,0,0,1,0,1
5M Magnetic Pin,2025-05-28,6,186,6.0,1,2025-05-27,0,0,1,0,1
5M Magnetic Pin,2025-05-29,1,187,1.0,1,2025-05-28,0,0,1,0,1
5M Magnetic Pin,2025-05-30,3,190,3.0,1,2025-05-29,0,0,1,0,1
5M Magnetic Pin,2025-05-31,1,191,1.0,1,2025-05-30,0,0,1,0,1
5M Magnetic Pin,2025-06-02,5,5,5.0,1,2025-05-31,0,0,1,0,1
5M Magnetic Pin,2025-06-03,11,16,11.0,1,2025-06-02,0,0,1,0,1
5M Magnetic Pin,2025-06-04,3,19,3.0,1,2025-06-03,0,0,1,0,1
5M Magnetic Pin,2025-06-05,2,21,2.0,1,2025-06-04,0,0,1,0,1
5M Magnetic Pin,2025-06-06,1,22,1.0,1,2025-06-05,0,0,1,0,1
5M Magnetic Pin,2025-06-09,2,24,1.0,2,2025-06-06,0,0,1,0,1
5M Magnetic Pin,2025-06-10,1,25,1.0,1,2025-06-09,0,0,1,0,1
5M Magnetic Pin,2025-06-11,2,27,2.0,1,2025-06-10,0,0,1,0,1
5M Magnetic Pin,2025-06-13,6,33,3.0,2,2025-06-11,0,0,1,0,1
5M Magnetic Pin,2025-06-14,2,35,2.0,1,2025-06-13,0,0,1,0,1
5M Magnetic Pin,2025-06-16,1,36,1.0,1,2025-06-14,0,0,1,0,1
5M Magnetic Pin,2025-06-20,2,38,0.5,4,2025-06-16,0,0,1,0,1
5M Magnetic Pin,2025-06-26,18,56,4.5,4,2025-06-20,0,0,1,0,1
5M Magnetic Pin,2025-06-30,1,57,0.3333,3,2025-06-26,0,0,1,0,1
5M Magnetic Pin,2025-07-01,1,1,1.0,1,2025-06-30,0,0,1,0,1
5M Magnetic Pin,2025-07-12,1,2,0.1,10,2025-07-01,0,0,1,0,1
5M Magnetic Pin,2025-07-14,1,3,1.0,1,2025-07-12,0,0,1,0,1
5M Magnetic Pin,2025-07-15,1,4,1.0,1,2025-07-14,0,0,1,0,1
5M Magnetic Pin,2025-07-16,1,5,1.0,1,2025-07-15,0,0,1,0,1
5M Magnetic Pin,2025-07-17,2,7,2.0,1,2025-07-16,0,0,1,0,1
5M Magnetic Pin,2025-07-18,1,8,1.0,1,2025-07-17,0,0,1,0,1
5M Magnetic Pin,2025-07-21,2,10,1.0,2,2025-07-18,0,0,1,0,1
5M Magnetic Pin,2025-08-01,4,4,0.4,10,2025-07-21,0,0,1,0,1
5M Magnetic Pin,2025-08-04,3,7,1.5,2,2025-08-01,0,0,1,0,1
5M Magnetic Pin,2025-08-05,2,9,2.0,1,2025-08-04,0,0,1,0,1
5M Magnetic Pin,2025-08-06,3,12,3.0,1,2025-08-05,0,0,1,0,1
5M Magnetic Pin,2025-08-07,4,16,4.0,1,2025-08-06,0,0,1,0,1
5M Magnetic Pin,2025-08-11,6,22,3.0,2,2025-08-07,0,0,1,0,1
5M Magnetic Pin,2025-08-12,4,26,4.0,1,2025-08-11,0,0,1,0,1
5M Magnetic Pin,2025-08-13,5,31,5.0,1,2025-08-12,0,0,1,0,1
5M Magnetic Pin,2025-08-14,4,35,4.0,1,2025-08-13,0,0,1,0,1
5M Magnetic Pin,2025-08-15,2,37,2.0,1,2025-08-14,0,0,1,0,1
5M Magnetic Pin,2025-08-18,1,38,0.5,2,2025-08-15,0,0,1,0,1
5M Magnetic Pin,2025-08-20,4,42,2.0,2,2025-08-18,0,0,1,0,1
5M Magnetic Pin,2025-08-23,2,44,1.0,2,2025-08-20,0,0,1,0,1
5M Magnetic Pin,2025-08-27,6,50,3.0,2,2025-08-23,0,0,1,0,1
5M Magnetic Pin,2025-08-29,10,60,5.0,2,2025-08-27,0,0,1,0,1
5M Magnetic Pin,2025-09-02,8,8,2.6667,3,2025-08-29,0,0,1,0,1
5M Magnetic Pin,2025-09-03,2,10,2.0,1,2025-09-02,0,0,1,0,1
5M Magnetic Pin,2025-09-04,4,14,4.0,1,2025-09-03,0,0,1,0,1
5M Magnetic Pin,2025-09-05,3,17,3.0,1,2025-09-04,0,0,1,0,1
5M Magnetic Pin,2025-09-06,2,19,2.0,1,2025-09-05,0,0,1,0,1
5M Magnetic Pin,2025-09-09,2,21,1.0,2,2025-09-06,0,0,1,0,1
5M Magnetic Pin,2025-09-12,4,25,1.3333,3,2025-09-09,0,0,1,0,1
5M Magnetic Pin,2025-09-13,3,28,3.0,1,2025-09-12,0,0,1,0,1
5M Magnetic Pin,2025-09-15,51,79,51.0,1,2025-09-13,0,0,1,0,1
5M Magnetic Pin,2025-09-16,3,82,3.0,1,2025-09-15,0,0,1,0,1
5M Magnetic Pin,2025-09-19,3,85,1.0,3,2025-09-16,0,0,1,0,1
5M Magnetic Pin,2025-09-20,3,88,3.0,1,2025-09-19,0,0,1,0,1
5M Magnetic Pin,2025-09-21,2,90,2.0,1,2025-09-20,0,0,1,0,1
5M Magnetic Pin,2025-09-24,1,91,0.3333,3,2025-09-21,0,0,1,0,1
5M Magnetic Pin,2025-09-25,1,92,1.0,1,2025-09-24,0,0,1,0,1
5M Magnetic Pin,2025-09-29,3,95,1.0,3,2025-09-25,0,0,1,0,1
5M Magnetic Pin,2025-09-30,3,98,3.0,1,2025-09-29,0,0,1,0,1
5M Magnetic Pin,2025-10-01,2,2,2.0,1,2025-09-30,0,0,1,0,1
5M Magnetic Pin,2025-10-02,1,3,1.0,1,2025-10-01,0,0,1,0,1
5M Magnetic Pin,2025-10-03,1,4,1.0,1,2025-10-02,0,0,1,0,1
5M Magnetic Pin,2025-10-04,2,6,2.0,1,2025-10-03,0,0,1,0,1
5M Magnetic Pin,2025-10-06,3,9,3.0,1,2025-10-04,0,0,1,0,1
5M Magnetic Pin,2025-10-08,3,12,1.5,2,2025-10-06,0,0,1,0,1
5M Magnetic Pin,2025-10-09,1,13,1.0,1,2025-10-08,0,0,1,0,1
5M Magnetic Pin,2025-10-10,1,14,1.0,1,2025-10-09,0,0,1,0,1
5M Magnetic Pin,2025-10-13,2,16,1.0,2,2025-10-10,0,0,1,0,1
5M Magnetic Pin,2025-10-14,1,17,1.0,1,2025-10-13,0,0,1,0,1
5M Magnetic Pin,2025-10-17,3,20,1.0,3,2025-10-14,0,0,1,0,1
5M Magnetic Pin,2025-10-19,18,38,9.0,2,2025-10-17,0,0,1,0,1
5M Magnetic Pin,2025-10-24,2,40,0.4,5,2025-10-19,0,0,1,0,1
5M Magnetic Pin,2025-10-25,2,42,2.0,1,2025-10-24,0,0,1,0,1
5M Magnetic Pin,2025-10-27,2,44,2.0,1,2025-10-25,0,0,1,0,1
5M Magnetic Pin,2025-10-29,16,60,8.0,2,2025-10-27,0,0,1,0,1
5M Magnetic Pin,2025-11-05,3,3,0.5,6,2025-10-29,0,0,1,0,1
5M Magnetic Pin,2025-11-12,1,4,0.1667,6,2025-11-05,0,0,1,0,1
5M Magnetic Pin,2025-11-13,1,5,1.0,1,2025-11-12,0,0,1,0,1
5M Magnetic Pin,2025-11-20,7,12,1.0,7,2025-11-13,0,0,1,0,1
5M Magnetic Pin,2025-11-25,1,13,0.25,4,2025-11-20,0,0,1,0,1
5M Magnetic Pin,2025-11-26,2,15,2.0,1,2025-11-25,0,0,1,0,1
5M Magnetic Pin,2025-11-27,3,18,3.0,1,2025-11-26,0,0,1,0,1
5M Magnetic Pin,2025-12-03,26,26,4.3333,6,2025-11-27,0,0,1,0,1
5M Magnetic Pin,2025-12-04,1,27,1.0,1,2025-12-03,0,0,1,0,1
5M Magnetic Pin,2025-12-07,32,59,10.6667,3,2025-12-04,0,0,1,0,1
5M Magnetic Pin,2025-12-13,1,60,0.2,5,2025-12-07,0,0,1,0,1
5M Magnetic Pin,2025-12-18,16,76,4.0,4,2025-12-13,0,0,1,0,1
5M Magnetic Pin,2026-01-14,1,1,0.0455,22,2025-12-18,0,0,1,0,1
5M Magnetic Pin,2026-04-25,2,2,,88,2026-01-14,0,1,1,0,1
5M Magnetic Pin,2026-05-06,4,4,0.5,8,2026-04-25,0,0,1,0,1
5M Magnetic Pin,2026-05-13,1,5,0.1667,6,2026-05-06,0,0,1,0,1
5M Magnetic Pin,2026-05-19,1,6,0.2,5,2026-05-13,0,0,1,0,1
5M Magnetic Pin,2026-05-20,1,7,1.0,1,2026-05-19,0,0,1,0,1
5M Magnetic Pin,2026-05-23,1,8,0.3333,3,2026-05-20,0,0,1,0,1
5M Magnetic Pin,2026-05-28,3,11,0.75,4,2026-05-23,0,0,1,0,1
5M Magnetic Pin,2026-05-29,1,12,1.0,1,2026-05-28,0,0,1,0,1
5M Magnetic Pin,2026-05-30,4,16,4.0,1,2026-05-29,0,0,1,0,1
5M Magnetic Pin,2026-06-01,2,2,2.0,1,2026-05-30,0,0,1,0,1
5M Magnetic Pin,2026-06-04,1,3,0.3333,3,2026-06-01,0,0,1,0,1
5M Magnetic Pin,2026-06-05,1,4,1.0,1,2026-06-04,0,0,1,0,1
5M Magnetic Pin,2026-06-06,1,5,1.0,1,2026-06-05,0,0,1,0,1
5M Magnetic Pin,2026-06-08,3,8,3.0,1,2026-06-06,0,0,1,0,1
5M Magnetic Pin,2026-06-09,3,11,3.0,1,2026-06-08,0,0,1,0,1
5M Magnetic Pin,2026-06-11,4,15,2.0,2,2026-06-09,0,0,1,0,1
5M Magnetic Pin,2026-06-13,1,16,1.0,1,2026-06-11,0,0,1,0,1
5M Magnetic Pin,2026-06-16,1,17,0.5,2,2026-06-13,0,0,1,0,1
5M Magnetic Pin,2026-06-17,3,20,3.0,1,2026-06-16,0,0,1,0,1
5M Magnetic Pin,2026-06-18,2,22,2.0,1,2026-06-17,0,0,1,0,1
5M Magnetic Pin,2026-06-23,3,25,0.75,4,2026-06-18,0,0,1,0,1
5M Magnetic Pin,2026-06-25,2,27,2.0,1,2026-06-23,0,0,1,0,1
5M Magnetic Pin,2026-06-26,2,29,2.0,1,2026-06-25,0,0,1,0,1
5M Magnetic Pin,2026-06-29,2,31,1.0,2,2026-06-26,0,0,1,0,1
5M Magnetic Pin,2026-06-30,2,33,2.0,1,2026-06-29,0,0,1,0,1
5M Rotating Keychain,2025-05-09,1,1,0.1429,7,,1,0,1,0,1
5M Rotating Keychain,2025-05-10,1,2,1.0,1,2025-05-09,0,0,1,0,1
5M Rotating Keychain,2025-05-15,1,3,0.25,4,2025-05-10,0,0,1,0,1
5M Rotating Keychain,2025-05-16,4,7,4.0,1,2025-05-15,0,0,1,0,1
5M Rotating Keychain,2025-05-17,2,9,2.0,1,2025-05-16,0,0,1,0,1
5M Rotating Keychain,2025-05-19,1,10,1.0,1,2025-05-17,0,0,1,0,1
5M Rotating Keychain,2025-05-21,2,12,1.0,2,2025-05-19,0,0,1,0,1
5M Rotating Keychain,2025-05-22,2,14,2.0,1,2025-05-21,0,0,1,0,1
5M Rotating Keychain,2025-05-23,2,16,2.0,1,2025-05-22,0,0,1,0,1
5M Rotating Keychain,2025-05-24,1,17,1.0,1,2025-05-23,0,0,1,0,1
5M Rotating Keychain,2025-05-26,1,18,1.0,1,2025-05-24,0,0,1,0,1
5M Rotating Keychain,2025-05-27,161,179,161.0,1,2025-05-26,0,0,1,0,1
5M Rotating Keychain,2025-05-28,7,186,7.0,1,2025-05-27,0,0,1,0,1
5M Rotating Keychain,2025-05-30,5,191,2.5,2,2025-05-28,0,0,1,0,1
5M Rotating Keychain,2025-05-31,4,195,4.0,1,2025-05-30,0,0,1,0,1
5M Rotating Keychain,2025-06-02,3,3,3.0,1,2025-05-31,0,0,1,0,1
5M Rotating Keychain,2025-06-03,3,6,3.0,1,2025-06-02,0,0,1,0,1
5M Rotating Keychain,2025-06-04,1,7,1.0,1,2025-06-03,0,0,1,0,1
5M Rotating Keychain,2025-06-05,2,9,2.0,1,2025-06-04,0,0,1,0,1
5M Rotating Keychain,2025-06-06,18,27,18.0,1,2025-06-05,0,0,1,0,1
5M Rotating Keychain,2025-06-07,9,36,9.0,1,2025-06-06,0,0,1,0,1
5M Rotating Keychain,2025-06-09,1,37,1.0,1,2025-06-07,0,0,1,0,1
5M Rotating Keychain,2025-06-10,8,45,8.0,1,2025-06-09,0,0,1,0,1
5M Rotating Keychain,2025-06-11,5,50,5.0,1,2025-06-10,0,0,1,0,1
5M Rotating Keychain,2025-06-12,13,63,13.0,1,2025-06-11,0,0,1,0,1
5M Rotating Keychain,2025-06-13,14,77,14.0,1,2025-06-12,0,0,1,0,1
5M Rotating Keychain,2025-06-14,5,82,5.0,1,2025-06-13,0,0,1,0,1
5M Rotating Keychain,2025-06-16,1,83,1.0,1,2025-06-14,0,0,1,0,1
5M Rotating Keychain,2025-06-17,1,84,1.0,1,2025-06-16,0,0,1,0,1
5M Rotating Keychain,2025-06-18,2,86,2.0,1,2025-06-17,0,0,1,0,1
5M Rotating Keychain,2025-06-20,3,89,1.5,2,2025-06-18,0,0,1,0,1
5M Rotating Keychain,2025-06-21,6,95,6.0,1,2025-06-20,0,0,1,0,1
5M Rotating Keychain,2025-06-25,4,99,2.0,2,2025-06-21,0,0,1,0,1
5M Rotating Keychain,2025-06-26,8,107,8.0,1,2025-06-25,0,0,1,0,1
5M Rotating Keychain,2025-06-27,1,108,1.0,1,2025-06-26,0,0,1,0,1
5M Rotating Keychain,2025-06-28,4,112,4.0,1,2025-06-27,0,0,1,0,1
5M Rotating Keychain,2025-06-30,8,120,8.0,1,2025-06-28,0,0,1,0,1
5M Rotating Keychain,2025-07-01,3,3,3.0,1,2025-06-30,0,0,1,0,1
5M Rotating Keychain,2025-07-05,5,8,1.25,4,2025-07-01,0,0,1,0,1
5M Rotating Keychain,2025-07-07,1,9,1.0,1,2025-07-05,0,0,1,0,1
5M Rotating Keychain,2025-07-12,5,14,1.0,5,2025-07-07,0,0,1,0,1
5M Rotating Keychain,2025-07-15,3,17,1.5,2,2025-07-12,0,0,1,0,1
5M Rotating Keychain,2025-07-16,5,22,5.0,1,2025-07-15,0,0,1,0,1
5M Rotating Keychain,2025-07-17,3,25,3.0,1,2025-07-16,0,0,1,0,1
5M Rotating Keychain,2025-07-21,2,27,0.6667,3,2025-07-17,0,0,1,0,1
5M Rotating Keychain,2025-08-01,9,9,0.9,10,2025-07-21,0,0,1,0,1
5M Rotating Keychain,2025-08-04,7,16,3.5,2,2025-08-01,0,0,1,0,1
5M Rotating Keychain,2025-08-05,11,27,11.0,1,2025-08-04,0,0,1,0,1
5M Rotating Keychain,2025-08-06,5,32,5.0,1,2025-08-05,0,0,1,0,1
5M Rotating Keychain,2025-08-07,18,50,18.0,1,2025-08-06,0,0,1,0,1
5M Rotating Keychain,2025-08-11,12,62,6.0,2,2025-08-07,0,0,1,0,1
5M Rotating Keychain,2025-08-12,3,65,3.0,1,2025-08-11,0,0,1,0,1
5M Rotating Keychain,2025-08-13,7,72,7.0,1,2025-08-12,0,0,1,0,1
5M Rotating Keychain,2025-08-14,5,77,5.0,1,2025-08-13,0,0,1,0,1
5M Rotating Keychain,2025-08-15,4,81,4.0,1,2025-08-14,0,0,1,0,1
5M Rotating Keychain,2025-08-16,1,82,1.0,1,2025-08-15,0,0,1,0,1
5M Rotating Keychain,2025-08-18,7,89,7.0,1,2025-08-16,0,0,1,0,1
5M Rotating Keychain,2025-08-19,5,94,5.0,1,2025-08-18,0,0,1,0,1
5M Rotating Keychain,2025-08-20,2,96,2.0,1,2025-08-19,0,0,1,0,1
5M Rotating Keychain,2025-08-22,1,97,1.0,1,2025-08-20,0,0,1,0,1
5M Rotating Keychain,2025-08-23,6,103,6.0,1,2025-08-22,0,0,1,0,1
5M Rotating Keychain,2025-08-27,12,115,6.0,2,2025-08-23,0,0,1,0,1
5M Rotating Keychain,2025-08-28,2,117,2.0,1,2025-08-27,0,0,1,0,1
5M Rotating Keychain,2025-08-29,4,121,4.0,1,2025-08-28,0,0,1,0,1
5M Rotating Keychain,2025-09-02,2,2,0.6667,3,2025-08-29,0,0,1,0,1
5M Rotating Keychain,2025-09-03,3,5,3.0,1,2025-09-02,0,0,1,0,1
5M Rotating Keychain,2025-09-04,9,14,9.0,1,2025-09-03,0,0,1,0,1
5M Rotating Keychain,2025-09-06,1,15,0.5,2,2025-09-04,0,0,1,0,1
5M Rotating Keychain,2025-09-08,1,16,1.0,1,2025-09-06,0,0,1,0,1
5M Rotating Keychain,2025-09-09,2,18,2.0,1,2025-09-08,0,0,1,0,1
5M Rotating Keychain,2025-09-11,1,19,0.5,2,2025-09-09,0,0,1,0,1
5M Rotating Keychain,2025-09-12,9,28,9.0,1,2025-09-11,0,0,1,0,1
5M Rotating Keychain,2025-09-13,3,31,3.0,1,2025-09-12,0,0,1,0,1
5M Rotating Keychain,2025-09-15,2,33,2.0,1,2025-09-13,0,0,1,0,1
5M Rotating Keychain,2025-09-16,1,34,1.0,1,2025-09-15,0,0,1,0,1
5M Rotating Keychain,2025-09-19,2,36,0.6667,3,2025-09-16,0,0,1,0,1
5M Rotating Keychain,2025-09-21,4,40,2.0,2,2025-09-19,0,0,1,0,1
5M Rotating Keychain,2025-09-24,3,43,1.0,3,2025-09-21,0,0,1,0,1
5M Rotating Keychain,2025-09-25,1,44,1.0,1,2025-09-24,0,0,1,0,1
5M Rotating Keychain,2025-09-29,4,48,1.3333,3,2025-09-25,0,0,1,0,1
5M Rotating Keychain,2025-09-30,15,63,15.0,1,2025-09-29,0,0,1,0,1
5M Rotating Keychain,2025-10-01,2,2,2.0,1,2025-09-30,0,0,1,0,1
5M Rotating Keychain,2025-10-02,5,7,5.0,1,2025-10-01,0,0,1,0,1
5M Rotating Keychain,2025-10-03,2,9,2.0,1,2025-10-02,0,0,1,0,1
5M Rotating Keychain,2025-10-04,2,11,2.0,1,2025-10-03,0,0,1,0,1
5M Rotating Keychain,2025-10-06,4,15,4.0,1,2025-10-04,0,0,1,0,1
5M Rotating Keychain,2025-10-07,7,22,7.0,1,2025-10-06,0,0,1,0,1
5M Rotating Keychain,2025-10-08,2,24,2.0,1,2025-10-07,0,0,1,0,1
5M Rotating Keychain,2025-10-09,9,33,9.0,1,2025-10-08,0,0,1,0,1
5M Rotating Keychain,2025-10-13,10,43,3.3333,3,2025-10-09,0,0,1,0,1
5M Rotating Keychain,2025-10-14,1,44,1.0,1,2025-10-13,0,0,1,0,1
5M Rotating Keychain,2025-10-17,14,58,4.6667,3,2025-10-14,0,0,1,0,1
5M Rotating Keychain,2025-10-19,38,96,19.0,2,2025-10-17,0,0,1,0,1
5M Rotating Keychain,2025-10-22,10,106,3.3333,3,2025-10-19,0,0,1,0,1
5M Rotating Keychain,2025-10-24,7,113,3.5,2,2025-10-22,0,0,1,0,1
5M Rotating Keychain,2025-10-25,10,123,10.0,1,2025-10-24,0,0,1,0,1
5M Rotating Keychain,2025-10-27,13,136,13.0,1,2025-10-25,0,0,1,0,1
5M Rotating Keychain,2025-10-28,9,145,9.0,1,2025-10-27,0,0,1,0,1
5M Rotating Keychain,2025-10-29,5,150,5.0,1,2025-10-28,0,0,1,0,1
5M Rotating Keychain,2025-11-05,2,2,0.3333,6,2025-10-29,0,0,1,0,1
5M Rotating Keychain,2025-11-06,6,8,6.0,1,2025-11-05,0,0,1,0,1
5M Rotating Keychain,2025-11-07,8,16,8.0,1,2025-11-06,0,0,1,0,1
5M Rotating Keychain,2025-11-12,2,18,0.5,4,2025-11-07,0,0,1,0,1
5M Rotating Keychain,2025-11-13,6,24,6.0,1,2025-11-12,0,0,1,0,1
5M Rotating Keychain,2025-11-14,9,33,9.0,1,2025-11-13,0,0,1,0,1
5M Rotating Keychain,2025-11-19,4,37,0.8,5,2025-11-14,0,0,1,0,1
5M Rotating Keychain,2025-11-20,2,39,2.0,1,2025-11-19,0,0,1,0,1
5M Rotating Keychain,2025-11-24,4,43,1.3333,3,2025-11-20,0,0,1,0,1
5M Rotating Keychain,2025-11-25,2,45,2.0,1,2025-11-24,0,0,1,0,1
5M Rotating Keychain,2025-11-26,17,62,17.0,1,2025-11-25,0,0,1,0,1
5M Rotating Keychain,2025-11-27,3,65,3.0,1,2025-11-26,0,0,1,0,1
5M Rotating Keychain,2025-12-02,1,1,0.2,5,2025-11-27,0,0,1,0,1
5M Rotating Keychain,2025-12-03,28,29,28.0,1,2025-12-02,0,0,1,0,1
5M Rotating Keychain,2025-12-04,4,33,4.0,1,2025-12-03,0,0,1,0,1
5M Rotating Keychain,2025-12-07,185,218,61.6667,3,2025-12-04,0,0,1,0,1
5M Rotating Keychain,2025-12-10,30,248,15.0,2,2025-12-07,0,0,1,0,1
5M Rotating Keychain,2025-12-11,13,261,13.0,1,2025-12-10,0,0,1,0,1
5M Rotating Keychain,2025-12-12,3,264,3.0,1,2025-12-11,0,0,1,0,1
5M Rotating Keychain,2025-12-13,7,271,7.0,1,2025-12-12,0,0,1,0,1
5M Rotating Keychain,2025-12-15,2,273,2.0,1,2025-12-13,0,0,1,0,1
5M Rotating Keychain,2025-12-16,9,282,9.0,1,2025-12-15,0,0,1,0,1
5M Rotating Keychain,2025-12-17,11,293,11.0,1,2025-12-16,0,0,1,0,1
5M Rotating Keychain,2025-12-18,17,310,17.0,1,2025-12-17,0,0,1,0,1
5M Rotating Keychain,2026-01-07,1,1,0.0588,17,2025-12-18,0,0,1,0,1
5M Rotating Keychain,2026-01-08,4,5,4.0,1,2026-01-07,0,0,1,0,1
5M Rotating Keychain,2026-01-10,4,9,4.0,1,2026-01-08,0,0,1,0,1
5M Rotating Keychain,2026-01-12,7,16,7.0,1,2026-01-10,0,0,1,0,1
5M Rotating Keychain,2026-01-13,2,18,2.0,1,2026-01-12,0,0,1,0,1
5M Rotating Keychain,2026-01-14,40,58,40.0,1,2026-01-13,0,0,1,0,1
5M Rotating Keychain,2026-01-15,7,65,7.0,1,2026-01-14,0,0,1,0,1
5M Rotating Keychain,2026-01-16,5,70,5.0,1,2026-01-15,0,0,1,0,1
5M Rotating Keychain,2026-01-17,5,75,5.0,1,2026-01-16,0,0,1,0,1
5M Rotating Keychain,2026-01-19,4,79,4.0,1,2026-01-17,0,0,1,0,1
5M Rotating Keychain,2026-01-20,2,81,2.0,1,2026-01-19,0,0,1,0,1
5M Rotating Keychain,2026-01-21,1,82,1.0,1,2026-01-20,0,0,1,0,1
5M Rotating Keychain,2026-01-22,1,83,1.0,1,2026-01-21,0,0,1,0,1
5M Rotating Keychain,2026-01-23,3,86,3.0,1,2026-01-22,0,0,1,0,1
5M Rotating Keychain,2026-01-25,163,249,81.5,2,2026-01-23,0,0,1,0,1
5M Rotating Keychain,2026-01-27,3,252,1.5,2,2026-01-25,0,0,1,0,1
5M Rotating Keychain,2026-01-29,4,256,2.0,2,2026-01-27,0,0,1,0,1
5M Rotating Keychain,2026-01-30,7,263,7.0,1,2026-01-29,0,0,1,0,1
5M Rotating Keychain,2026-01-31,115,378,115.0,1,2026-01-30,0,0,1,0,1
5M Rotating Keychain,2026-02-01,71,71,71.0,1,2026-01-31,0,0,1,0,1
5M Rotating Keychain,2026-02-16,1,72,0.0769,13,2026-02-01,0,0,1,0,1
5M Rotating Keychain,2026-02-28,1,73,0.1111,9,2026-02-16,0,0,1,0,1
5M Rotating Keychain,2026-04-10,1,1,,36,2026-02-28,0,1,1,0,1
5M Rotating Keychain,2026-04-25,5,6,0.3846,13,2026-04-10,0,0,1,0,1
5M Rotating Keychain,2026-04-28,1,7,0.5,2,2026-04-25,0,0,1,0,1
5M Rotating Keychain,2026-04-29,3,10,3.0,1,2026-04-28,0,0,1,0,1
5M Rotating Keychain,2026-05-06,4,4,0.8,5,2026-04-29,0,0,1,0,1
5M Rotating Keychain,2026-05-07,1,5,1.0,1,2026-05-06,0,0,1,0,1
5M Rotating Keychain,2026-05-12,1,6,0.25,4,2026-05-07,0,0,1,0,1
5M Rotating Keychain,2026-05-13,4,10,4.0,1,2026-05-12,0,0,1,0,1
